txn_id,timestamp,amount,payment_method,bank,failure_reason,attempt_no,hour_of_day,is_weekend,customer_past_success_rate,minutes_since_last_failure,is_flagged_risk,retry_succeeded
txn_000001,2026-06-22T04:15:00,380.13,upi,kotak,invalid_otp,2,3,0,0.899,1,0,1
txn_000002,2026-07-09T11:12:00,2604.12,upi,axis,card_expired,1,13,1,0.728,720,0,0
txn_000003,2026-07-19T19:24:00,2441.97,card,axis,bank_server_down,1,2,0,0.633,1,0,0
txn_000004,2026-06-27T08:10:00,1182.82,wallet,icici,insufficient_funds,1,19,0,0.747,180,0,1
txn_000005,2026-07-26T10:40:00,439.72,card,icici,gateway_error,1,11,1,0.57,180,0,0
txn_000006,2026-06-03T22:07:00,603.32,card,sbi,invalid_otp,1,20,0,0.566,1,0,1
txn_000007,2026-07-22T02:19:00,1042.54,wallet,kotak,issuer_declined,1,6,0,0.91,15,0,1
txn_000008,2026-07-05T17:39:00,172.86,wallet,idfc,card_expired,1,1,0,0.882,60,0,1
txn_000009,2026-06-24T23:22:00,1394.88,wallet,kotak,invalid_otp,1,8,0,0.688,1,0,0
txn_000010,2026-06-01T01:14:00,1801.98,card,icici,gateway_error,1,20,0,0.637,720,0,0
txn_000011,2026-06-07T07:11:00,210.65,wallet,hdfc,invalid_otp,1,9,1,0.646,180,0,1
txn_000012,2026-07-07T07:36:00,174.53,card,sbi,gateway_error,1,19,0,0.406,5,0,0
txn_000013,2026-07-28T10:39:00,2630.19,netbanking,other,gateway_error,1,7,1,0.597,5,0,1
txn_000014,2026-07-08T01:14:00,149.37,upi,hdfc,insufficient_funds,2,6,0,0.914,5,0,0
txn_000015,2026-06-10T22:42:00,417.01,upi,idfc,insufficient_funds,2,23,1,0.677,180,0,1
txn_000016,2026-07-30T08:37:00,289.57,card,other,bank_server_down,3,14,1,0.348,60,0,1
txn_000017,2026-07-12T09:58:00,195.54,upi,icici,gateway_error,3,6,0,0.727,30,0,1
txn_000018,2026-07-19T08:15:00,314.81,wallet,sbi,bank_server_down,1,1,0,0.719,60,0,1
txn_000019,2026-06-29T19:07:00,2090.54,upi,sbi,insufficient_funds,1,18,1,0.567,60,0,0
txn_000020,2026-07-22T05:52:00,294.08,card,yesbank,gateway_error,1,21,0,1.0,1,0,1
txn_000021,2026-06-28T12:51:00,673.71,upi,axis,gateway_error,2,11,0,0.64,720,0,1
txn_000022,2026-07-28T17:30:00,1754.82,upi,kotak,invalid_otp,1,3,0,0.693,15,0,1
txn_000023,2026-07-21T05:09:00,175.09,wallet,kotak,risk_block,1,8,1,1.0,5,1,0
txn_000024,2026-06-04T15:09:00,3559.74,upi,icici,issuer_declined,1,11,0,0.84,720,0,0
txn_000025,2026-06-17T02:46:00,1082.9,card,axis,risk_block,1,17,0,0.636,5,1,0
txn_000026,2026-07-05T19:40:00,1297.86,upi,sbi,risk_block,2,13,0,0.779,720,1,0
txn_000027,2026-06-26T09:45:00,136.88,wallet,axis,risk_block,2,7,1,0.59,1,1,0
txn_000028,2026-07-23T11:34:00,2182.64,wallet,yesbank,bank_server_down,1,3,0,0.769,60,0,1
txn_000029,2026-06-12T08:14:00,861.46,upi,idfc,insufficient_funds,1,23,0,0.277,15,0,0
txn_000030,2026-06-16T20:10:00,1061.46,netbanking,kotak,issuer_declined,1,22,0,0.303,180,0,0
txn_000031,2026-06-16T10:41:00,328.55,netbanking,idfc,invalid_otp,1,18,0,0.44,60,0,1
txn_000032,2026-07-08T17:21:00,321.97,netbanking,yesbank,invalid_otp,1,6,1,0.994,720,0,1
txn_000033,2026-06-17T00:13:00,655.87,card,idfc,risk_block,2,20,0,0.986,720,1,0
txn_000034,2026-07-11T06:48:00,2471.56,wallet,hdfc,issuer_declined,2,3,0,0.426,60,0,0
txn_000035,2026-06-08T01:15:00,623.59,wallet,other,invalid_otp,1,7,0,0.76,5,0,1
txn_000036,2026-07-01T02:49:00,36.75,card,kotak,issuer_declined,1,2,1,0.612,1,0,0
txn_000037,2026-07-03T00:25:00,256.19,wallet,hdfc,card_expired,1,18,0,0.912,30,0,1
txn_000038,2026-07-07T19:14:00,872.88,wallet,idfc,bank_server_down,1,19,0,0.687,30,0,1
txn_000039,2026-06-30T19:06:00,4366.13,wallet,sbi,issuer_declined,2,21,1,0.866,1,0,1
txn_000040,2026-06-07T05:53:00,1471.42,netbanking,yesbank,insufficient_funds,1,13,1,0.967,15,0,1
txn_000041,2026-06-11T10:12:00,78.73,upi,hdfc,issuer_declined,1,18,0,0.712,60,0,0
txn_000042,2026-06-28T10:49:00,221.45,card,kotak,issuer_declined,2,12,0,0.992,180,0,1
txn_000043,2026-07-03T23:12:00,401.65,upi,hdfc,risk_block,2,11,1,0.928,30,1,1
txn_000044,2026-07-24T22:16:00,421.02,wallet,sbi,invalid_otp,2,20,1,0.497,30,0,0
txn_000045,2026-06-20T07:22:00,311.18,card,icici,bank_server_down,2,14,0,0.599,15,0,1
txn_000046,2026-06-22T20:59:00,237.55,netbanking,yesbank,bank_server_down,1,8,0,0.774,30,0,1
txn_000047,2026-07-09T17:31:00,1223.54,wallet,other,invalid_otp,1,7,0,0.621,60,0,1
txn_000048,2026-06-18T10:25:00,1124.45,netbanking,yesbank,gateway_error,2,8,1,0.588,720,0,1
txn_000049,2026-06-25T23:14:00,709.7,wallet,kotak,insufficient_funds,1,3,0,0.611,180,0,0
txn_000050,2026-06-05T16:14:00,1018.81,upi,kotak,insufficient_funds,1,15,1,0.671,15,0,1
txn_000051,2026-06-23T14:10:00,1834.07,wallet,icici,bank_server_down,2,2,0,0.931,15,0,1
txn_000052,2026-06-10T00:46:00,1540.15,wallet,axis,insufficient_funds,1,14,0,0.486,1,0,0
txn_000053,2026-06-03T23:18:00,410.19,card,axis,gateway_error,1,7,1,0.939,60,0,1
txn_000054,2026-06-21T11:06:00,231.45,netbanking,other,bank_server_down,2,8,0,0.473,30,0,1
txn_000055,2026-07-16T13:17:00,156.62,netbanking,sbi,invalid_otp,1,18,0,0.553,30,0,0
txn_000056,2026-07-24T10:35:00,3544.2,wallet,icici,card_expired,1,23,0,1.0,720,0,0
txn_000057,2026-06-09T07:19:00,1214.35,netbanking,hdfc,gateway_error,3,16,0,0.831,180,0,0
txn_000058,2026-06-04T08:09:00,456.17,wallet,yesbank,network_timeout,2,5,0,0.605,720,0,1
txn_000059,2026-07-16T08:58:00,458.27,netbanking,kotak,network_timeout,1,0,0,0.61,15,0,1
txn_000060,2026-06-15T09:58:00,401.07,upi,axis,invalid_otp,2,9,0,1.0,60,0,1
txn_000061,2026-07-14T22:02:00,2826.8,upi,idfc,bank_server_down,1,3,0,0.872,180,0,1
txn_000062,2026-07-01T22:28:00,778.17,card,other,gateway_error,2,19,0,0.826,720,0,0
txn_000063,2026-07-21T05:40:00,370.84,netbanking,hdfc,gateway_error,2,18,0,0.864,30,0,1
txn_000064,2026-07-30T08:21:00,143.48,wallet,other,issuer_declined,2,13,1,0.619,30,0,0
txn_000065,2026-06-15T01:12:00,467.59,wallet,hdfc,gateway_error,3,14,1,0.831,720,0,0
txn_000066,2026-07-15T09:56:00,978.53,netbanking,yesbank,insufficient_funds,2,2,0,0.844,15,0,0
txn_000067,2026-06-10T03:33:00,136.2,upi,icici,risk_block,2,9,0,0.637,180,1,0
txn_000068,2026-07-05T19:40:00,356.48,netbanking,hdfc,network_timeout,1,4,1,0.668,5,0,1
txn_000069,2026-07-11T04:58:00,602.89,card,other,invalid_otp,2,8,0,0.559,60,0,1
txn_000070,2026-06-27T22:20:00,1288.45,netbanking,idfc,gateway_error,1,9,1,0.574,60,0,1
txn_000071,2026-06-27T01:12:00,249.53,netbanking,hdfc,gateway_error,3,21,0,1.0,720,0,0
txn_000072,2026-07-28T02:42:00,345.59,card,yesbank,issuer_declined,2,8,0,0.514,180,0,1
txn_000073,2026-07-04T07:13:00,166.26,netbanking,other,invalid_otp,1,4,1,0.718,5,0,0
txn_000074,2026-06-13T19:29:00,48.62,netbanking,sbi,card_expired,1,15,0,0.968,30,0,0
